County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Fairbanks North Star Borough,Alaska, Alaska,"Fairbanks North Star Borough, Alaska",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",Total:,"83,604",Total,Total
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. Under 18 years:,"22,028", Under 18 years,Under 18 years
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. . With health insurance coverage,"19,416",  With health insurance coverage,With health insurance coverage
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. . No health insurance coverage,"2,612",  No health insurance coverage,No health insurance coverage
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. 18 to 64 years:,"55,525", 18 to 64 years,18 to 64 years
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. . With health insurance coverage,"38,116",  With health insurance coverage,With health insurance coverage
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. . No health insurance coverage,"17,409",  No health insurance coverage,No health insurance coverage
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. 65 years or over:,"6,051", 65 years or over,65 years or over
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. . With health insurance coverage,"6,051",  With health insurance coverage,With health insurance coverage
Matanuska-Susitna Borough,Alaska, Alaska,"Matanuska-Susitna Borough, Alaska",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Apache County,Arizona, Arizona,"Apache County, Arizona",Total:,"69,533",Total,Total
Apache County,Arizona, Arizona,"Apache County, Arizona",. Under 18 years:,"21,915", Under 18 years,Under 18 years
Apache County,Arizona, Arizona,"Apache County, Arizona",. . With health insurance coverage,"13,856",  With health insurance coverage,With health insurance coverage
Apache County,Arizona, Arizona,"Apache County, Arizona",. . No health insurance coverage,"8,059",  No health insurance coverage,No health insurance coverage
Apache County,Arizona, Arizona,"Apache County, Arizona",. 18 to 64 years:,"39,392", 18 to 64 years,18 to 64 years
Apache County,Arizona, Arizona,"Apache County, Arizona",. . With health insurance coverage,"24,235",  With health insurance coverage,With health insurance coverage
Apache County,Arizona, Arizona,"Apache County, Arizona",. . No health insurance coverage,"15,157",  No health insurance coverage,No health insurance coverage
Apache County,Arizona, Arizona,"Apache County, Arizona",. 65 years or over:,"8,226", 65 years or over,65 years or over
Apache County,Arizona, Arizona,"Apache County, Arizona",. . With health insurance coverage,"7,698",  With health insurance coverage,With health insurance coverage
Apache County,Arizona, Arizona,"Apache County, Arizona",. . No health insurance coverage,528,  No health insurance coverage,No health insurance coverage
Cochise County,Arizona, Arizona,"Cochise County, Arizona",Total:,"120,381",Total,Total
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. Under 18 years:,"30,714", Under 18 years,Under 18 years
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. . With health insurance coverage,"28,230",  With health insurance coverage,With health insurance coverage
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. . No health insurance coverage,"2,484",  No health insurance coverage,No health insurance coverage
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. 18 to 64 years:,"67,231", 18 to 64 years,18 to 64 years
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. . With health insurance coverage,"55,846",  With health insurance coverage,With health insurance coverage
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. . No health insurance coverage,"11,385",  No health insurance coverage,No health insurance coverage
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. 65 years or over:,"22,436", 65 years or over,65 years or over
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. . With health insurance coverage,"22,335",  With health insurance coverage,With health insurance coverage
Cochise County,Arizona, Arizona,"Cochise County, Arizona",. . No health insurance coverage,101,  No health insurance coverage,No health insurance coverage
Coconino County,Arizona, Arizona,"Coconino County, Arizona",Total:,"127,018",Total,Total
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. Under 18 years:,"32,762", Under 18 years,Under 18 years
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. . With health insurance coverage,"24,759",  With health insurance coverage,With health insurance coverage
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. . No health insurance coverage,"8,003",  No health insurance coverage,No health insurance coverage
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. 18 to 64 years:,"83,717", 18 to 64 years,18 to 64 years
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. . With health insurance coverage,"59,426",  With health insurance coverage,With health insurance coverage
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. . No health insurance coverage,"24,291",  No health insurance coverage,No health insurance coverage
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. 65 years or over:,"10,539", 65 years or over,65 years or over
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. . With health insurance coverage,"10,407",  With health insurance coverage,With health insurance coverage
Coconino County,Arizona, Arizona,"Coconino County, Arizona",. . No health insurance coverage,132,  No health insurance coverage,No health insurance coverage
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",Total:,"3,929,060",Total,Total
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. Under 18 years:,"1,082,165", Under 18 years,Under 18 years
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. . With health insurance coverage,"923,816",  With health insurance coverage,With health insurance coverage
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. . No health insurance coverage,"158,349",  No health insurance coverage,No health insurance coverage
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. 18 to 64 years:,"2,399,118", 18 to 64 years,18 to 64 years
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. . With health insurance coverage,"1,846,514",  With health insurance coverage,With health insurance coverage
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. . No health insurance coverage,"552,604",  No health insurance coverage,No health insurance coverage
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. 65 years or over:,"447,777", 65 years or over,65 years or over
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. . With health insurance coverage,"438,778",  With health insurance coverage,With health insurance coverage
Maricopa County,Arizona, Arizona,"Maricopa County, Arizona",. . No health insurance coverage,"8,999",  No health insurance coverage,No health insurance coverage
Mohave County,Arizona, Arizona,"Mohave County, Arizona",Total:,"192,900",Total,Total
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. Under 18 years:,"42,440", Under 18 years,Under 18 years
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. . With health insurance coverage,"35,042",  With health insurance coverage,With health insurance coverage
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. . No health insurance coverage,"7,398",  No health insurance coverage,No health insurance coverage
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. 18 to 64 years:,"107,851", 18 to 64 years,18 to 64 years
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. . With health insurance coverage,"82,721",  With health insurance coverage,With health insurance coverage
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. . No health insurance coverage,"25,130",  No health insurance coverage,No health insurance coverage
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. 65 years or over:,"42,609", 65 years or over,65 years or over
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. . With health insurance coverage,"42,509",  With health insurance coverage,With health insurance coverage
Mohave County,Arizona, Arizona,"Mohave County, Arizona",. . No health insurance coverage,100,  No health insurance coverage,No health insurance coverage
Navajo County,Arizona, Arizona,"Navajo County, Arizona",Total:,"111,369",Total,Total
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. Under 18 years:,"33,356", Under 18 years,Under 18 years
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. . With health insurance coverage,"27,457",  With health insurance coverage,With health insurance coverage
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. . No health insurance coverage,"5,899",  No health insurance coverage,No health insurance coverage
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. 18 to 64 years:,"64,612", 18 to 64 years,18 to 64 years
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. . With health insurance coverage,"48,611",  With health insurance coverage,With health insurance coverage
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. . No health insurance coverage,"16,001",  No health insurance coverage,No health insurance coverage
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. 65 years or over:,"13,401", 65 years or over,65 years or over
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. . With health insurance coverage,"13,154",  With health insurance coverage,With health insurance coverage
Navajo County,Arizona, Arizona,"Navajo County, Arizona",. . No health insurance coverage,247,  No health insurance coverage,No health insurance coverage
Pima County,Arizona, Arizona,"Pima County, Arizona",Total:,"991,605",Total,Total
Pima County,Arizona, Arizona,"Pima County, Arizona",. Under 18 years:,"239,165", Under 18 years,Under 18 years
Pima County,Arizona, Arizona,"Pima County, Arizona",. . With health insurance coverage,"209,950",  With health insurance coverage,With health insurance coverage
Pima County,Arizona, Arizona,"Pima County, Arizona",. . No health insurance coverage,"29,215",  No health insurance coverage,No health insurance coverage
Pima County,Arizona, Arizona,"Pima County, Arizona",. 18 to 64 years:,"601,608", 18 to 64 years,18 to 64 years
Pima County,Arizona, Arizona,"Pima County, Arizona",. . With health insurance coverage,"477,940",  With health insurance coverage,With health insurance coverage
Pima County,Arizona, Arizona,"Pima County, Arizona",. . No health insurance coverage,"123,668",  No health insurance coverage,No health insurance coverage
Pima County,Arizona, Arizona,"Pima County, Arizona",. 65 years or over:,"150,832", 65 years or over,65 years or over
Pima County,Arizona, Arizona,"Pima County, Arizona",. . With health insurance coverage,"149,612",  With health insurance coverage,With health insurance coverage
Pima County,Arizona, Arizona,"Pima County, Arizona",. . No health insurance coverage,"1,220",  No health insurance coverage,No health insurance coverage
Pinal County,Arizona, Arizona,"Pinal County, Arizona",Total:,"303,873",Total,Total
Pinal County,Arizona, Arizona,"Pinal County, Arizona",. Under 18 years:,"85,284", Under 18 years,Under 18 years
Pinal County,Arizona, Arizona,"Pinal County, Arizona",. . With health insurance coverage,"72,366",  With health insurance coverage,With health insurance coverage
